Income,Marital_Status,Expenses,Cluster
-1.066486519495588,1,-0.3542359866905554,2
0.38012579768556687,1,0.43921167135909905,0
0.6176147293212421,0,0.7064243665216279,3
-0.6886659949314525,0,-0.3706168415664193,1
-1.4446429116668194,0,-0.03788072690043512,1
1.1648346615370524,0,0.45047350908625544,3
0.9243229214375134,1,1.1415408241617608,0
-0.08999725199230559,0,-0.35014077297158946,1
0.7890293426154926,0,0.7709239825953417,3
-0.5550212207260847,0,-0.33273611466598413,1
-0.41087295044426125,0,-0.395188123880215,1
0.8269518487985099,1,0.5108779114410034,0
-0.4786571402399927,1,-0.32966470437675965,2
-1.1141186528655613,1,-0.3757358587151267,2
0.16614759854660927,0,0.21909393396467877,3
-0.09014991908644011,1,0.29076017404658305,2
-0.4264755274648102,1,0.0788328640900947,2
0.8996213856065464,0,1.6513949321730228,3
0.9031327287716405,0,0.5446634246224725,3
0.8292723886293548,1,0.3460455592526235,0
1.3098989343836829,0,1.8582032249808036,3
0.026640407926475526,1,0.6081392372664448,2
-0.8867057494427651,0,-0.38085487586383415,1
-0.7118713932399011,0,-0.35218837983107243,1
-0.563723245091753,1,-0.38904530330176607,2
0.187032457024213,0,0.22114154082416176,3
-0.09082165430063205,1,-0.34092654210391604,2
-0.3044945192513206,1,0.1279754287176862,2
-1.0606851699184758,0,-0.3665216278474533,1
0.4208879118194864,0,0.11261837727156386,3
-0.6777960978290739,0,-0.34092654210391604,1
0.48665689597264206,1,0.21499872024571282,0
0.10810356935666086,1,-0.16483235218837983,0
0.01544231790756351,0,-0.2938315843358075,1
-1.3068761259198192,1,-0.30202201177373944,2
0.4155750969436048,0,0.009214230867673407,3
0.16776586974443528,0,-0.28154594317890963,3
0.006305150987756099,0,-0.08702329152802663,1
0.2777777777777778,0,0.8743281289992322,3
1.0715550670208542,0,0.16483235218837983,3
-0.3513938505694483,0,-0.25287944714614796,1
-0.8872858844004763,0,-0.3081648323521884,1
-0.7118713932399011,0,-0.35218837983107243,1
0.08700497694726879,0,0.12592782185820323,3
-0.9512533968428445,1,-0.37983107243409264,2
-0.1996427589997252,0,-0.2549270540056309,1
-0.1239504137278251,1,0.1279754287176862,2
1.2462062227107569,0,0.8876375735858715,3
0.37255350981649415,0,0.7269004351164576,3
-1.0030686085921041,1,-0.36959303813667777,2
0.8949192391072028,0,1.131302789864346,3
